task_code,phraseid_1,phrase_1,phraseid_2,phrase_2,phraseid_3,phrase_3,phraseid_4,phrase_4,phraseid_5,phrase_5,phraseid_6,phrase_6,phraseid_7,phrase_7,phraseid_8,phrase_8,phraseid_9,phrase_9,phraseid_10,phrase_10,phraseid_11,phrase_11,phraseid_12,phrase_12,phraseid_13,phrase_13,phraseid_14,phrase_14,phraseid_15,phrase_15,phraseid_16,phrase_16,phraseid_17,phrase_17,phraseid_18,phrase_18,phraseid_19,phrase_19,phraseid_20,phrase_20
spam,954,; bucks,28,Cheers message Zogtorius,1367,09065394973 from,2077,at Holby,2078,4 Costa,617,name STOP,2516,Organizer lt;#&gt,914,love U.,1374,words,227,Digital call,609,sux snake,1182,.... night,2515,GUARANTEED . 09058094454,1279,C Suprman Matrix3,2693,STORE 88039 SkilGme,2905,have Â£750,1861,Tyler (,2853,Nickey of,2519,Moby,2957,: two
spam,1557,day crab,2904,. to,2961,GUARANTEED 09058094454,143,. Ldew.com1win150ppmx3age16subscription,1726,to London,2169,"May , tomorrow",710,abt e,632,within 5,968,tt,1671,! Chat,2705,problem thanx,792,. Reply,1797,4 ! bx420-ip4,2774,noun u,1137,09066362231,1732,. 500 text,831,Babe What,2144,@ home,1810,- mins&100txt,1827,gal in
spam,644,SEE U,2560,. gd,2682,morning,2179,either Bahamas,1898,seven .,1662,free Free,1302,admirer who 2,1092,truth of,998,4 in,872,Rose water,1504,OURBACKS FUCKINNICE!SELFISH,2338,call,1519,GUARANTEED Call 09058094454,2586,09066362231 URGENT !,1407,another T&C,1054,reference X49,847,Call,316,84199 ! Opt,2047,. INDIA CUST SERVs,1417,Fancy
spam,59,Ta,177,80488 500,1509,ex,1967,Account Statement,1488,. BT,2706,hamster of,2154,. way,1609,in california,2074,reply today,439,"9 ,",551,M. Call,1793,09094646899 ! Chat,509,2 his,1293,to TnC,124,Ya than,1602,Ten special,2297,u Txt,995,Huh science,1471,With,2876,AT AMY
spam,223,from Omg,1511,. to 87121,1847,16 Club,2724,6hrs .,557,That i.ll,1237,Haiz ...,1399,TxtNO 4 ads,2274,ringtone flag,2577,Fancy flirt,658,Free 2,1273,intro to,1377,TnC www Ldew.com1win150ppmx3age16subscription,261,heart Txt,537,call 09061221066,215,game to,2025,4thNOV.BEHIND FUCKINNICE!SELFISH,1106,TELLMISS IM,582,gettin gossip,1100,Bristol road,2731,"07xxxxxxxxx Â£2,000"
spam,2126,fast Dat,1626,AT WANNA DO,2652,reference X49 .,1852,07123456789 Yahoo !,180,points Call,2404,friends with,1310,MobileUpd8 08000839402,265,. wot,185,New colour phone,2367,AT,1753,Account Statement shows,274,", what",612,_ _ Joy,1458,"URE , INTELLIGENT",1545,wiskey Brandy Rum,1224,""" Pete",331,Offer,19,exam with,947,sim Haiz,2222,tat vid
spam,2796,Gud night,469,da,1517,Map ..,2960,- hope,2602,. 2 .,1924,December,755,WON,1604,. 255,1569,rights of,1372,? With 300,1577,Lul,2535,2 joined,1049,3MOBILE 0870,2886,. Netcollex Ltd. PO,1905,NOKIA No,1342,4.50 your,63,at 10p .,2723,2005 .,687,- Text,842,In
spam,283,Mobiles,2657,home by,2736,for 50 ...,1144,61610 .,703,Â– FUCKINNICE!SELFISH,2220,Neva ...,337,message Zogtorius,2259,X49 .,309,Tuesday .,1885,TsandCs Reply HL 4,994,housing agency,529,v wet,1353,u. 4,2378,its Tuesday,2006,... chiong,591,... Fuck Merry Christmas,2071,files between,2384,. P,2106,collection Call,2135,MINS INDIA CUST
spam,1324,money that,4,cabin PA,2035,: flirt,95,face watches,608,Ni8;- ),1518,hours to,49,Chef .,1756,bâ€˜ham .,1697,NEFT Transaction reference,1229,Cos sis,2356,BAHAMAS CallFREEFONE 08081560665,1201,. wan 2,2016,Two,1986,FreeMsg,984,RT,2369,2003 Account,2101,heart Txt LOVE,1087,December .,2005,DeliveredTomorrow ? 300,833,thanks to
spam,592,EY !,936,call 09061221066 .,546,one ;,1515,T&C at 18,878,who at,316,84199 ! Opt,830,to XCHAT,1630,exam march 3,624,UR 2 !,1945,u Txt CHAT,2688,URGENT ! number,7,tkts 21st May,1950,ericsson oso,776,mobile 100,361,Wewa 130,210,What up,986,+,2256,", U Wil Reach",2580,", mom",2146,birthday on
